AsOfDate,OpenDate,CloseDate,ShortName,PortfolioName,StrategyRefShortName,Strategy1RefShortName,Strategy2RefShortName,CustodianName,DirectionName,SecurityId,SecurityTypeName,SecName,StartQty,Qty,StartPrice,Price,StartFXRate,FXRate,MV_Local,MV_Base,PL_DTD,PL_QTD,PL_MTD,PL_YTD
2023-01-08,04/03/20,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,592000.0,592000.0,96.0,96.0,1.33,1.33,568320.0,755865.6,92.504,10833.7294,92.504,41054.5854
2023-01-08,04/03/20,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,88.0,88.0,96.0,96.0,1.33,1.33,84.48,112.3584,0.0138,1.6104,0.0138,6.1027
2023-01-08,04/03/20,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,787500.0,787500.0,96.0,96.0,1.33,1.33,756000.0,1005480.0,123.0523,14411.4221,123.0523,54612.3074
2023-01-08,04/03/20,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,505000.0,505000.0,96.0,96.0,1.33,1.33,484800.0,644784.0,78.9097,9241.6104,78.9097,35021.2257
2023-01-08,04/03/20,,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,508000.0,508000.0,96.0,96.0,1.33,1.33,487680.0,648614.4,79.3785,9296.511,79.3785,35229.2726
2023-01-08,04/03/20,,Heather,Heather, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,432857.0,432857.0,96.0,96.0,1.33,1.33,415542.72,552671.8176,67.6369,7921.3777,67.6369,30018.1835
2023-01-08,18/11/20,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,273482,Equity,MSFT,985.0,985.0,50.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,23/09/22,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,273482,Equity,MSFT,71.0,71.0,50.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,23/09/22,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,273482,Equity,MSFT,500.0,500.0,50.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,23/09/22,,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,273482,Equity,MSFT,429.0,429.0,50.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,18/11/20,,NorthPoint,Northpoint 401K, Default,Asset,DefaultS2,CS Prime,Long,273482,Equity,MSFT,15.0,15.0,50.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,31/01/23,31/01/23,AIV 1,CoYold 1, Default,ClientA,DefaultS2,JP MORGAN SECURITIES LLC,Long,273771,Bond,000361AH8,0.0,0.0,0.0,101.0,1.0,1.0,,,0.0,0.0,0.0,2009.72
2023-01-08,25/07/23,,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,275373,AssetBacked,02660CAD2,5571429.0,5571429.0,0.0,99.0,1.0,1.0,0.0,0.0,143.4083,-898728.6355,143.4083,-898728.6355
2023-01-08,25/07/23,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,275373,AssetBacked,02660CAD2,928571.0,928571.0,0.0,99.0,1.0,1.0,0.0,0.0,23.9014,-149788.0236,23.9014,-149788.0236
2023-01-08,25/07/23,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,275373,AssetBacked,02660CAD2,6500000.0,6500000.0,0.0,99.0,1.0,1.0,0.0,0.0,167.3097,-1048516.669,167.3097,-1048516.669
2023-01-08,27/01/22,,Opium,Opium Holdings Partners, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,300000.0,300000.0,14.61,14.61,1.0,1.0,4383000.0,4383000.0,0.0,24000.0,0.0,153000.0
2023-01-08,27/01/22,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,276270,Equity,AA,350000.0,350000.0,14.61,14.61,1.0,1.0,5113500.0,5113500.0,0.0,28000.0,0.0,178500.0
2023-01-08,27/01/22,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,50000.0,50000.0,14.61,14.61,1.0,1.0,730500.0,730500.0,0.0,4000.0,0.0,25500.0
2023-01-08,27/01/22,,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,300000.0,300000.0,14.61,14.61,1.0,1.0,4383000.0,4383000.0,0.0,24000.0,0.0,153000.0
2023-01-08,01/06/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,3000000.0,3000000.0,14.61,14.61,1.0,1.0,43830000.0,43830000.0,0.0,240000.0,0.0,1530000.0
2023-01-08,01/08/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,130000.0,130000.0,14.61,14.61,1.0,1.0,1899300.0,1899300.0,0.0,10400.0,0.0,66300.0
2023-01-08,15/08/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,140000.0,140000.0,14.61,14.61,1.0,1.0,2045400.0,2045400.0,0.0,11200.0,0.0,71400.0
2023-01-08,15/07/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,110000.0,110000.0,14.61,14.61,1.0,1.0,1607100.0,1607100.0,0.0,8800.0,0.0,56100.0
2023-01-08,01/06/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,1850000.0,1850000.0,14.61,14.61,1.0,1.0,27028500.0,27028500.0,0.0,148000.0,0.0,943500.0
2023-01-08,01/07/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,110000.0,110000.0,14.61,14.61,1.0,1.0,1607100.0,1607100.0,0.0,8800.0,0.0,56100.0
2023-01-08,15/08/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,276270,Equity,AA,80000.0,80000.0,14.61,14.61,1.0,1.0,1168800.0,1168800.0,0.0,6400.0,0.0,40800.0
2023-01-08,01/06/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,3210000.0,3210000.0,6.25,6.25,1.0,1.0,20062500.0,20062500.0,0.0,64200.0,0.0,353100.0
2023-01-08,01/08/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,250000.0,250000.0,6.25,6.25,1.0,1.0,1562500.0,1562500.0,0.0,5000.0,0.0,27500.0
2023-01-08,15/07/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,340000.0,340000.0,6.25,6.25,1.0,1.0,2125000.0,2125000.0,0.0,6800.0,0.0,37400.0
2023-01-08,15/08/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,330000.0,330000.0,6.25,6.25,1.0,1.0,2062500.0,2062500.0,0.0,6600.0,0.0,36300.0
2023-01-08,01/06/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,6140000.0,6140000.0,6.25,6.25,1.0,1.0,38375000.0,38375000.0,0.0,122800.0,0.0,675400.0
2023-01-08,01/07/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,200000.0,200000.0,6.25,6.25,1.0,1.0,1250000.0,1250000.0,0.0,4000.0,0.0,22000.0
2023-01-08,15/07/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,210000.0,210000.0,6.25,6.25,1.0,1.0,1312500.0,1312500.0,0.0,4200.0,0.0,23100.0
2023-01-08,01/08/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,277144,Equity,F,350000.0,350000.0,6.25,6.25,1.0,1.0,2187500.0,2187500.0,0.0,7000.0,0.0,38500.0
2023-01-08,26/07/23,,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,271221,Equity,669 HK,100000.0,100000.0,84.0,84.0,9.710000004,9.710000004,0.0,0.0,0.0,-865087.5383,0.0,-865087.5383
2023-01-08,26/07/23,,NorthPoint,Northpoint 401K, Default,Asset,DefaultS2,CS Prime,Long,271221,Equity,669 HK,150000.0,150000.0,84.0,84.0,9.710000004,9.710000004,0.0,0.0,0.0,-1297631.307,0.0,-1297631.307
2023-01-08,03/11/21,,NorthPoint,Northpoint 401K, Default,Asset,DefaultS2,CS Prime,Long,271437,Equity,AU,2554.0,2554.0,0.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,03/11/21,,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,271437,Equity,AU,327373.0,327373.0,0.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,03/11/21,,Opium,Opium Holdings Partners, Default,Asset,DefaultS2,CS Prime,Long,271437,Equity,AU,292465.0,292465.0,0.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,03/11/21,,Garfield,Garfield, Default,Asset,DefaultS2,Well Prime,Long,271437,Equity,AU,179651.0,179651.0,0.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,03/11/21,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,CS Prime,Long,271437,Equity,AU,197957.0,197957.0,0.0,89.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,02/01/20,,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,271606,Bond,25271CAE2,5000000.0,5000000.0,96.0,96.0,1.0,1.0,0.0,0.0,0.0,6458.3333,0.0,6250.0
2023-01-08,01/06/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,200000.0,200000.0,105.16,105.14,1.33,1.33,21028000.0,27967240.0,-5320.0,-162260.0,-5320.0,-1058680.0
2023-01-08,15/08/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,10000.0,10000.0,105.16,105.14,1.33,1.33,1051400.0,1398362.0,-266.0,-8113.0,-266.0,-52934.0
2023-01-08,01/08/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,20000.0,20000.0,105.16,105.14,1.33,1.33,2102800.0,2796724.0,-532.0,-16226.0,-532.0,-105868.0
2023-01-08,15/07/20,,Platpot,Platpot, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,10000.0,10000.0,105.16,105.14,1.33,1.33,1051400.0,1398362.0,-266.0,-8113.0,-266.0,-52934.0
2023-01-08,01/06/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,240000.0,240000.0,105.16,105.14,1.33,1.33,25233600.0,33560688.0,-6384.0,-194712.0,-6384.0,-1270416.0
2023-01-08,15/08/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,10000.0,10000.0,105.16,105.14,1.33,1.33,1051400.0,1398362.0,-266.0,-8113.0,-266.0,-52934.0
2023-01-08,01/08/20,,Ytum,Ytum, Default,Asset,DefaultS2,CS Prime,Long,272584,Equity,SAP GR,20000.0,20000.0,105.16,105.14,1.33,1.33,2102800.0,2796724.0,-532.0,-16226.0,-532.0,-105868.0
2023-01-08,26/07/23,,Heather,Heather, Default,Asset,DefaultS2,CS Prime,Long,270962,Equity,FB,65000.0,65000.0,299.0,299.0,1.0,1.0,0.0,0.0,0.0,-19435000.0,0.0,-19435000.0
2023-01-08,26/07/23,,NorthPoint,Northpoint 401K, Default,Asset,DefaultS2,CS Prime,Long,270962,Equity,FB,35000.0,35000.0,299.0,299.0,1.0,1.0,0.0,0.0,0.0,-10465000.0,0.0,-10465000.0
2023-01-08,04/03/20,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,12.0,12.0,96.0,96.0,1.33,1.33,11.52,15.3216,0.0019,0.2196,0.0019,0.8322
2023-01-08,04/03/20,,MNC Inv,MNC Investment Fund, Default,Asset,DefaultS2,Well Prime,Long,273098,Bond,EJ0445951,112500.0,112500.0,96.0,96.0,1.33,1.33,108000.0,143640.0,17.5789,2058.7746,17.5789,7801.7582
