id,RevisionId,AllocationId,TradeTypeName,SecurityId,SecurityType,Name,Ticker,CUSIP,ISIN,TradeDate,SettleDate,Quantity,Price,TradeFXRate,Principal,Interest,TotalCash,AllocationQTY,AllocationPrincipal,AllocationInterest,AllocationFees,AllocationCash,PortfolioName,CustodianName,StrategyName,Strategy1Name,Strategy2Name,Counterparty,AllocationRule,IsCustomAllocation
3489863,2,3460886,Buy,270471,Equity,Berry Brand 4/11 Equity,,,,2026-01-15,00:00.0,500000,14.0,,7000000.0,0.0,7002800.0,500000.0,7000000.0,0.0,2800.0,7002800.0,HoldCo 1,JP MORGAN SECURITIES LLC, Default,DefaultS1,DefaultS2,ABGS,Single Fund Rule - HoldCo 1,1
3489864,1,3460887,Sell,270471,Equity,Berry Brand 4/11 Equity,,,,2026-01-15,00:00.0,500000,14.0,,7000000.0,0.0,6999871.2,500000.0,7000000.0,0.0,128.8,6999871.2,HoldCo 1,JP MORGAN SECURITIES LLC, Default,DefaultS1,DefaultS2,ABGS,Single Fund Rule - HoldCo 1,0
3496826,1,3462756,Sell,290063,Equity,META-US,META,30303M102,US30303M1027,2026-01-15,00:00.0,23644323,108.0,,2553586884.0,0.0,2553539898.0,23644323.0,2553586884.0,0.0,46985.99,2553539898.0,HoldCo 3,CITIGROUP GLOBAL MARKETS INC., Default,DefaultS1,DefaultS2,ABGS,Single Fund Rule - HoldCo 3,0
3496828,3,3462769,Buy,290067,Equity,SPOT-US,SPOT,,LU1778762911,2026-01-15,00:00.0,1098229,1.0,,1098229.0,0.0,1098249.21,1098229.0,1098229.01,0.0,20.2,1098249.21,HoldCo 11,Goldman Sachs International, Default,Asset,DefaultS2,ABGS,Single Fund Rule - HoldCo 11,1
3496829,4,3462770,Buy,290067,Equity,SPOT-US,SPOT,,LU1778762911,2026-01-15,00:00.0,1647344,2.0,,3294688.0,0.0,3294748.62,1647344.0,3294688.0,0.0,60.62,3294748.62,HoldCo 11,Goldman Sachs International, Default,Asset,DefaultS2,ABGS,Single Fund Rule - HoldCo 11,1
3496830,3,3462771,Buy,290067,Equity,SPOT-US,SPOT,,LU1778762911,2026-01-15,00:00.0,2745573,46.49,,127641688.8,0.0,127644037.4,2745573.0,127641688.8,0.0,2348.6,127644037.4,HoldCo 11,Goldman Sachs International, Default,Asset,DefaultS2,ABGS,Single Fund Rule - HoldCo 11,1
3496832,3,3462768,Sell,290067,Equity,SPOT-US,SPOT,,LU1778762911,2026-01-15,00:00.0,5491146,5.0,,27455730.0,0.0,27455224.81,5491146.0,27455729.99,0.0,505.18,27455224.81,HoldCo 11,Goldman Sachs International, Default,Asset,DefaultS2,ABGS,Single Fund Rule - HoldCo 11,0
3496833,3,3463719,Sell,290067,Equity,SPOT-US,SPOT,,LU1778762911,2026-01-15,00:00.0,2000000,5.0,,10000000.0,0.0,9999816.0,2000000.0,10000000.0,0.0,184.0,9999816.0,HoldCo 11,Goldman Sachs International, Default,Asset,DefaultS2,ABGS,Single Fund Rule - HoldCo 11,0
3500315,1,3463720,Sell,290067,Equity,SPOT-US,SPOT,,LU1778762911,2026-01-15,00:00.0,2000000,5.0,,10000000.0,0.0,9999816.0,2000000.0,10000000.0,0.0,184.0,9999816.0,HoldCo 11,Goldman Sachs International, Default,Asset,DefaultS2,ABGS,Single Fund Rule - HoldCo 11,1
3503795,2,3464654,Buy,290073,Option,UBER US 3/1/2023,UBER US,90353T100,US90353T1007,2026-01-15,00:00.0,2000000,25.0,,5000000000.0,0.0,5000092000.0,2000000.0,5000000000.0,0.0,92000.0,5000092000.0,HoldCo 7,JP MORGAN SECURITIES LLC, Default,DefaultS1,DefaultS2,ABGS,Single Fund Rule - HoldCo 7,0
3528151,2,3471187,Buy,288800,Bond,177342AL6,,177342AL6,US177342AL65,2026-01-15,00:00.0,10000000,90.0,,9000000.0,0.0,9000000.0,4375000.0,3937500.0,0.0,0.0,3937500.0,Redfield Accu-Fund,DBAB Prime, Default,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,1
3528151,2,3471188,Buy,288800,Bond,177342AL6,,177342AL6,US177342AL65,2026-01-15,00:00.0,10000000,90.0,,9000000.0,0.0,9000000.0,4375000.0,3937500.0,0.0,0.0,3937500.0,Redfield Accu-Fund,DBAB Prime,CZN,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,1
3528151,2,3471189,Buy,288800,Bond,177342AL6,,177342AL6,US177342AL65,2026-01-15,00:00.0,10000000,90.0,,9000000.0,0.0,9000000.0,625000.0,562500.0,0.0,0.0,562500.0,UNC Investment Fund,DBAB Prime,CZN,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,1
3528151,2,3471190,Buy,288800,Bond,177342AL6,,177342AL6,US177342AL65,2026-01-15,00:00.0,10000000,90.0,,9000000.0,0.0,9000000.0,312000.0,280800.0,0.0,0.0,280800.0,UNC Investment Fund,DBAB swap, Default,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,1
3528151,2,3471191,Buy,288800,Bond,177342AL6,,177342AL6,US177342AL65,2026-01-15,00:00.0,10000000,90.0,,9000000.0,0.0,9000000.0,313000.0,281700.0,0.0,0.0,281700.0,UNC Investment Fund,DBAB Prime, Default,Asset,DefaultS2,ABGS,STANDARD PERCENTAGE,1
